model,MAE,RMSE,R2
Random Forest,572.0296625766871,978.5633903953549,0.15088207317259505
XGBoost,584.3749407257404,980.6854112921047,0.14719544508198856
Linear Regression,619.2446332818007,1014.9833455848163,0.08650134114513852
