model,target,MAE,RMSE,R2
Mean Baseline,Cost Overrun,17.86420598387342,33.64720038792653,-0.015723999706105163
Mean Baseline,Schedule Delay,694.7804190264214,1067.6908288289062,-0.010836944459174047
