model,MAE,RMSE,R2
XGBoost,13.467669467179698,24.783524767808323,0.4489335255464072
Random Forest,13.510031711124142,25.055969792513615,0.4367511956602016
Linear Regression,22.36508485422727,30.177453402633198,0.18296056065286037
